combo_id,model,label,turbo,flow_scale,h_pre,status,returncode,elapsed_seconds,new_engine_count,new_engines,stdout,stderr,removed_zero_engines
m4262_4p26_heavy_t0_f1p0_h1608,4262,4.26 heavy,0,1.0,1608,ok,0,0.8,0,,logs\m4262_4p26_heavy_t0_f1p0_h1608.stdout.txt,logs\m4262_4p26_heavy_t0_f1p0_h1608.stderr.txt,
m4262_4p26_heavy_t0_f1p0_h1440,4262,4.26 heavy,0,1.0,1440,ok,0,0.719,0,,logs\m4262_4p26_heavy_t0_f1p0_h1440.stdout.txt,logs\m4262_4p26_heavy_t0_f1p0_h1440.stderr.txt,
m4262_4p26_heavy_t1_f1p0_h2160,4262,4.26 heavy,1,1.0,2160,ok,0,0.981,0,,logs\m4262_4p26_heavy_t1_f1p0_h2160.stdout.txt,logs\m4262_4p26_heavy_t1_f1p0_h2160.stderr.txt,
m4262_4p26_heavy_t1_f1p0_h1920,4262,4.26 heavy,1,1.0,1920,ok,0,0.873,0,,logs\m4262_4p26_heavy_t1_f1p0_h1920.stdout.txt,logs\m4262_4p26_heavy_t1_f1p0_h1920.stderr.txt,
m4262_4p26_heavy_t1_f1p0_h1608,4262,4.26 heavy,1,1.0,1608,ok,0,0.792,0,,logs\m4262_4p26_heavy_t1_f1p0_h1608.stdout.txt,logs\m4262_4p26_heavy_t1_f1p0_h1608.stderr.txt,
m4262_4p26_heavy_t1_f1p0_h1440,4262,4.26 heavy,1,1.0,1440,ok,0,0.741,0,,logs\m4262_4p26_heavy_t1_f1p0_h1440.stdout.txt,logs\m4262_4p26_heavy_t1_f1p0_h1440.stderr.txt,
m4262_4p26_heavy_t2_f1p0_h2160,4262,4.26 heavy,2,1.0,2160,ok,0,145.404,1,rife_v2/9f8cdbcc.engine,logs\m4262_4p26_heavy_t2_f1p0_h2160.stdout.txt,logs\m4262_4p26_heavy_t2_f1p0_h2160.stderr.txt,
m4262_4p26_heavy_t2_f1p0_h1920,4262,4.26 heavy,2,1.0,1920,ok,0,120.361,1,rife_v2/f869aa63.engine,logs\m4262_4p26_heavy_t2_f1p0_h1920.stdout.txt,logs\m4262_4p26_heavy_t2_f1p0_h1920.stderr.txt,
m4262_4p26_heavy_t2_f1p0_h1608,4262,4.26 heavy,2,1.0,1608,ok,0,97.132,1,rife_v2/fcda28a8.engine,logs\m4262_4p26_heavy_t2_f1p0_h1608.stdout.txt,logs\m4262_4p26_heavy_t2_f1p0_h1608.stderr.txt,
m4262_4p26_heavy_t2_f1p0_h1440,4262,4.26 heavy,2,1.0,1440,ok,0,87.546,1,rife_v2/8f1e8389.engine,logs\m4262_4p26_heavy_t2_f1p0_h1440.stdout.txt,logs\m4262_4p26_heavy_t2_f1p0_h1440.stderr.txt,
m47_4p7_t0_f1p0_h2160,47,4.7,0,1.0,2160,ok,0,60.435,1,rife/eb44cd03.engine,logs\m47_4p7_t0_f1p0_h2160.stdout.txt,logs\m47_4p7_t0_f1p0_h2160.stderr.txt,
