source,line,kind,active_line,shader,exists,menu,raw
portable_config/input_uosc.conf,150,menu,False,FSRCNNX/FSRCNNX_x2_2_12_0_4_1_v1_fastv2.glsl,True,着色器 > 标准 > FSRCNNX fastv2 > 均衡（LUMA）,"#                  change-list glsl-shaders toggle ""~~/shaders/FSRCNNX/FSRCNNX_x2_2_12_0_4_1_v1_fastv2.glsl""       #! 着色器 > 标准 > FSRCNNX fastv2 > 均衡（LUMA）"
portable_config/input_uosc.conf,151,menu,False,FSRCNNX/FSRCNNX_x2_2_12_0_4_1_v1sharp_fastv2.glsl,True,着色器 > 标准 > FSRCNNX fastv2 > 锐利（LUMA）,"#                  change-list glsl-shaders toggle ""~~/shaders/FSRCNNX/FSRCNNX_x2_2_12_0_4_1_v1sharp_fastv2.glsl""  #! 着色器 > 标准 > FSRCNNX fastv2 > 锐利（LUMA）"
portable_config/input_uosc.conf,152,menu,False,FSRCNNX/FSRCNNX_x2_2_12_0_4_1_v1smooth_fastv2.glsl,True,着色器 > 标准 > FSRCNNX fastv2 > 柔和（LUMA）,"#                  change-list glsl-shaders toggle ""~~/shaders/FSRCNNX/FSRCNNX_x2_2_12_0_4_1_v1smooth_fastv2.glsl"" #! 着色器 > 标准 > FSRCNNX fastv2 > 柔和（LUMA）"
portable_config/input_uosc.conf,153,menu,False,ACNet/ACNet_F8B8.glsl,True,着色器 > 标准 > ACNet > F8B8 线条（LUMA）,"#                  change-list glsl-shaders toggle ""~~/shaders/ACNet/ACNet_F8B8.glsl""     #! 着色器 > 标准 > ACNet > F8B8 线条（LUMA）"
portable_config/input_uosc.conf,154,menu,False,ACNet/ACNet_F8B8_hdn.glsl,True,着色器 > 标准 > ACNet > F8B8 降噪（LUMA）,"#                  change-list glsl-shaders toggle ""~~/shaders/ACNet/ACNet_F8B8_hdn.glsl"" #! 着色器 > 标准 > ACNet > F8B8 降噪（LUMA）"
portable_config/input_uosc.conf,155,menu,False,ACNet/ARNet_F8B16.glsl,True,着色器 > 标准 > ARNet > F8B16 细节（LUMA）,"#                  change-list glsl-shaders toggle ""~~/shaders/ACNet/ARNet_F8B16.glsl""    #! 着色器 > 标准 > ARNet > F8B16 细节（LUMA）"
portable_config/input_uosc.conf,163,menu,False,Anime4K/Anime4K_Deblur_DoG.glsl,True,着色器 >  Anime4K >去模糊系列 > Anime4K_Deblur_DoG （推荐）,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Deblur_DoG.glsl""              #! 着色器 >  Anime4K >去模糊系列 > Anime4K_Deblur_DoG （推荐）"
portable_config/input_uosc.conf,164,menu,False,Anime4K/Anime4K_Deblur_Original.glsl,True,着色器 >  Anime4K >去模糊系列 > Anime4K_Deblur_Original（去亮点）,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Deblur_Original.glsl""         #! 着色器 >  Anime4K >去模糊系列 > Anime4K_Deblur_Original（去亮点）"
portable_config/input_uosc.conf,166,menu,False,Anime4K/Anime4K_Restore_CNN_S.glsl,True,着色器 > Anime4K > 线条重建系列 > 减少上采样后的伪影 > Anime4K_Restore_CNN_S,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Restore_CNN_S.glsl""            #! 着色器 > Anime4K > 线条重建系列 > 减少上采样后的伪影 > Anime4K_Restore_CNN_S"
portable_config/input_uosc.conf,167,menu,False,Anime4K/Anime4K_Restore_CNN_M.glsl,True,着色器 > Anime4K > 线条重建系列 > 减少上采样后的伪影 > Anime4K_Restore_CNN_M（推荐）,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Restore_CNN_M.glsl""            #! 着色器 > Anime4K > 线条重建系列 > 减少上采样后的伪影 > Anime4K_Restore_CNN_M（推荐）"
